"study_id","fcs_files","cluster_id","label","fcs_names","FSC-A","SSC-A","CD11A","CD4","CD16","CD28","CD95","CD3","CD62L","CD8","CCR7","TIME","fraction"
"Data_SDY736_FCM-1","Data/Study2/T_Hs60011Bd_C200900505A_00.581822.fcs","cluster6","CD16-|CD28-|CD3-|CD4-","T_Hs60011Bd_C200900505A_00.581822.fcs",48826.19921875,6.46725273132324,0.832918882369995,0.453985512256622,0.171487867832184,-0.558798432350159,1.62832272052765,-0.331260442733765,-0.927387893199921,0.0710304528474808,1.0659966468811,2786.39990234375,0.271
"Data_SDY736_FCM-1","Data/Study2/T_Hs60012Bd_C200900505A_00.581833.fcs","cluster6","CD16-|CD28-|CD3-|CD4-","T_Hs60012Bd_C200900505A_00.581833.fcs",51267.318359375,6.16321206092834,1.37306636571884,0.384740591049194,0.119007907807827,0.0247371224686503,1.06247895956039,0.0625740960240364,2.26086401939392,-0.00767001998610795,1.04682552814484,4547.75,0.254
"Data_SDY736_FCM-1","Data/Study2/Hs90208Bd_C20090205_00.583331.fcs","cluster7","CD16-|CD28-|CD3-|CD4-|CD62L-|CD8-","Hs90208Bd_C20090205_00.583331.fcs",34731.619140625,6.17082285881042,1.78902018070221,0.179851144552231,0.135209031403065,0.197280280292034,0.649421274662018,-0.0443697869777679,-1.76813393831253,-0.0194367952644825,2.08591306209564,7260.30004882812,0.168
"Data_SDY736_FCM-1","Data/Study2/Hs90210Bd_C20090205_00.583065.fcs","cluster7","CD16-|CD28-|CD3-|CD4-|CD62L-|CD8-","Hs90210Bd_C20090205_00.583065.fcs",30707.0390625,6.35451984405518,0.338412463665009,0.458237141370773,0.214997634291649,0.149188622832298,0.863520801067352,0.227046579122543,-1.6096967458725,0.172322347760201,1.61976623535156,6149.5,0.051
"Data_SDY736_FCM-1","Data/Study2/Hs90211Bd_C20090205_00.583066.fcs","cluster7","CD16-|CD28-|CD3-|CD4-|CD62L-|CD8-","Hs90211Bd_C20090205_00.583066.fcs",27651.83984375,6.21319055557251,0.215286701917648,0.426840960979462,0.107054997235537,0.136836864054203,1.3587709069252,-0.0221671015024185,-2.88860869407654,-0.675778657197952,-0.516243785619736,9346.89990234375,0.076
"Data_SDY736_FCM-1","Data/Study2/T_Hs60003Bd_C200900407A_00.581924.fcs","cluster7","CD16-|CD28-|CD3-|CD4-|CD62L-|CD8-","T_Hs60003Bd_C200900407A_00.581924.fcs",25511.2998046875,6.30804347991943,0.10852237418294,0.235412672162056,0.10101006552577,0.0788880847394466,0.567621737718582,-0.456347644329071,-2.39437556266785,-0.264637634158134,0.908423900604248,3562.85009765625,0.508
"Data_SDY736_FCM-1","Data/Study2/T_Hs60011Bd_C200900505A_00.581822.fcs","cluster7","CD16-|CD28-|CD3-|CD4-|CD62L-|CD8-","T_Hs60011Bd_C200900505A_00.581822.fcs",44819.099609375,6.58386254310608,0.308159932494164,0.475863456726074,0.153725370764732,-0.561097741127014,1.98975968360901,-0.319544732570648,-1.3334333896637,0.0577927753329277,0.496742948889732,2745.5,0.198
"Data_SDY736_FCM-1","Data/Study2/T_Hs60012Bd_C200900505A_00.581833.fcs","cluster7","CD16-|CD28-|CD3-|CD4-|CD62L-|CD8-","T_Hs60012Bd_C200900505A_00.581833.fcs",45602.279296875,6.46643924713135,0.181839659810066,0.397832855582237,0.0903211124241352,0.00241445272695273,1.81101268529892,-0.0123417377471924,-0.576260209083557,0.0795320905745029,0.0415673181414604,4547.75,0.126
"Data_SDY736_FCM-1","Data/Study2/Hs90208Bd_C20090205_00.583331.fcs","cluster8","CCR7+|CD11A+|CD16-|CD3+|CD4+|CD62L+","Hs90208Bd_C20090205_00.583331.fcs",44700.91796875,6.07757759094238,2.89409708976746,4.187659740448,0.0769478231668472,1.35400724411011,1.69255256652832,4.6024227142334,6.55382108688354,-0.855484426021576,3.90687227249146,7163,0.363
"Data_SDY736_FCM-1","Data/Study2/Hs90210Bd_C20090205_00.583065.fcs","cluster8","CCR7+|CD11A+|CD16-|CD3+|CD4+|CD62L+","Hs90210Bd_C20090205_00.583065.fcs",44819.099609375,6.01662635803223,2.82046508789062,4.07120776176453,0.112423691898584,1.75678843259811,1.20621883869171,4.43073034286499,6.50379252433777,-0.817819952964783,4.00509452819824,6205,0.408
"Data_SDY736_FCM-1","Data/Study2/Hs90211Bd_C20090205_00.583066.fcs","cluster8","CCR7+|CD11A+|CD16-|CD3+|CD4+|CD62L+","Hs90211Bd_C20090205_00.583066.fcs",43640.71875,5.95871448516846,2.92593133449554,4.14102387428284,0.128445193171501,1.18665939569473,0.572699904441833,4.41464805603027,6.43458414077759,-1.44135946035385,4.07333946228027,8094,0.354
